"","earn","height","sex","race","ed","age"
"1",79571.299011024,73.89,"male","white",16,49
"2",96396.9886433106,66.23,"female","white",16,62
"3",48710.666947391,63.77,"female","white",16,33
"4",80478.0961525837,63.22,"female","other",16,95
"5",82089.3454983326,63.08,"female","white",17,43
"6",15313.3529014342,64.53,"female","white",15,30
"7",47104.1718212293,61.54,"female","white",12,53
"8",50960.0542820731,73.29,"male","white",17,50
"9",3212.6495560539,72.24,"male","hispanic",15,25
"10",42996.6378844038,72.4,"male","white",12,30
"11",10328.6188426045,70.22,"male","white",16,69
"12",1002.30715511839,63.15,"female","white",14,54
"13",47597.8198637099,68.11,"male","white",11,38
"14",19019.5422985066,68.08,"male","white",12,31
"15",20063.9966387225,64.86,"female","white",12,55
"16",992.832346303227,60.06,"female","white",12,31
"17",35972.1711232638,66.01,"female","white",16,39
"18",26930.5439643451,68.07,"male","white",12,62
"19",64602.0639724231,68.16,"female","white",14,33
"20",69993.6930698179,70.02,"male","white",13,48
"21",1000.21830625211,67.08,"female","white",9,25
"22",12131.8221152514,64.2,"female","black",12,59
"23",84223.3979186057,72.76,"male","black",13,39
"24",8949.47493547637,62.17,"female","white",13,55
"25",23278.3232780607,63.04,"female","white",14,25
"26",8750.13918500201,66.67,"male","white",14,26
"27",64593.5998054014,65.95,"female","white",12,45
"28",54079.8149454029,71.69,"male","white",12,49
"29",16896.1000435301,62.76,"female","black",12,39
"31",43938.8576046547,64.07,"female","white",16,64
"32",1004.09561369181,60,"female","white",12,48
"33",79478.0468181047,71.97,"male","white",16,42
"34",984.761813301634,68.25,"female","white",12,59
"35",65237.7700476547,76.68,"male","white",16,37
"36",978.872090839732,63.77,"female","white",10,23
"37",24845.4285917486,63.96,"female","white",14,29
"38",40754.1029736281,63.72,"female","white",12,37
"39",119251.055119839,71.92,"male","white",17,43
"40",42933.0122551917,68.12,"male","white",17,35
"41",20088.3114644238,64.48,"female","white",12,30
"42",12924.2239977829,60.94,"female","white",14,82
"43",48693.4797964477,67.19,"female","black",14,35
"44",34383.101849067,65.05,"female","white",12,61
"45",43928.4198331574,64.17,"female","white",14,30
"46",5782.248948451,66.49,"female","white",15,69
"47",40758.5577226173,65.58,"female","white",12,34
"48",39162.8754520925,64.93,"female","white",12,45
"49",51896.846670074,67.02,"female","white",18,33
"50",16905.1408589265,67.49,"female","white",17,34
"51",1000.99111084442,70.03,"female","white",12,61
"52",18497.8538930071,60.61,"female","hispanic",12,25
"53",30740.47803689,64.92,"female","white",13,36
"54",32803.4426895406,62,"female","white",12,33
"55",5529.47149841489,72.16,"male","white",10,22
"56",20594.711211041,66.35,"male","black",8,60
"57",39816.5002027645,70.09,"male","white",12,69
"58",33327.5987832144,70.05,"male","white",17,45
"59",55067.7931193718,68.49,"female","white",17,53
"60",10545.4502477035,60.13,"female","white",12,69
"61",26979.2976737281,71.15,"male","white",12,32
"62",55634.1696790621,70.77,"male","white",12,36
"63",6380.09148122974,72.87,"male","white",13,22
"64",23264.3741899011,68,"female","white",14,59
"65",16918.2189161501,65.64,"female","white",12,61
"66",39676.2644997822,68.74,"male","white",16,33
"67",994.133503863912,63.02,"female","white",8,67
"68",26420.8322535518,62.8,"female","white",14,31
"69",986.449291094241,65.99,"female","black",13,34
"70",986.993627550926,64.66,"female","white",12,30
"71",25550.7559075621,62.04,"male","hispanic",14,32
"72",27235.2680173859,64.24,"female","white",14,47
"73",7354.05363222349,63.82,"female","white",9,72
"74",7101.32415873714,66.95,"female","white",9,56
"75",35041.7055007873,71.28,"male","white",12,43
"76",1318.87555348029,59.63,"female","white",16,57
"77",42343.3439688464,66.34,"female","white",16,31
"78",4985.24601643037,66,"female","white",15,25
"79",28022.6386657665,65.49,"female","white",14,43
"80",13729.6720245917,69.96,"female","white",13,26
"81",991.599966272541,64.79,"female","white",13,67
"82",20074.7729832596,66.35,"female","white",13,72
"83",16901.6558792008,62.09,"female","white",12,51
"84",16899.2184171763,65.83,"female","white",15,71
"85",999.338097135203,63.78,"female","white",14,42
"86",23831.5316537746,71.81,"male","white",12,43
"87",4812.71528146838,67.12,"female","hispanic",8,43
"88",47742.1252747604,68.19,"male","hispanic",12,36
"89",47655.590724269,69.76,"male","white",12,37
"90",16892.6857012084,61.91,"female","white",12,42
"91",8934.46253020389,63.29,"female","white",13,30
"92",20099.9218436585,65.48,"female","white",13,67
"93",32803.3025937337,69.75,"female","white",10,65
"94",32811.8623722485,68.09,"female","white",12,40
"95",31765.8967813837,70.21,"male","white",14,27
"96",1001.00043870299,65.99,"female","white",12,63
"97",2907.2064170387,66.23,"female","white",12,24
"98",2115.67589682381,67.79,"female","white",16,36
"99",31884.9092385098,69.94,"male","white",16,31
"100",16905.0220799872,60.75,"female","hispanic",12,26
"101",48686.3352313777,62.9,"female","white",12,77
"102",64606.3235215003,63.47,"female","white",14,60
"103",39751.1940297085,67.14,"male","white",12,93
"104",16881.7141614142,60.66,"female","white",17,83
"105",96382.8900908101,69.55,"female","white",18,67
"106",986.228613755399,63.46,"female","white",12,25
"107",29618.8251244886,67.83,"female","white",12,70
"108",26500.2429561617,64.39,"female","white",12,37
"109",24854.9727381481,67.01,"female","black",14,34
"110",15885.5195104926,68.79,"male","white",17,27
"111",53463.6223523582,67.05,"female","white",13,47
"112",29627.8222039787,67.83,"female","white",12,34
"113",24843.1748606049,63.03,"female","white",12,41
"114",33438.2100886863,70.97,"male","white",12,26
"115",34374.0790977282,63.91,"female","black",17,47
"116",58834.1668506326,68.22,"male","white",11,41
"117",61429.1854058301,68.43,"female","white",17,48
"118",28014.7345560315,65.53,"female","hispanic",14,47
"119",981.65670365787,66.13,"female","white",12,33
"120",996.182111287872,66.31,"female","other",16,36
"121",50924.6583604247,77.12,"male","white",16,34
"122",44729.6150466756,67.17,"female","white",12,62
"123",27223.3656953101,62.11,"female","white",12,48
"124",1007.70988015799,64.5,"female","white",17,34
"125",996.828601796463,71.96,"female","white",12,55
"126",40750.0226434449,67.42,"female","white",18,39
"127",43929.4541868987,61.17,"female","white",18,47
"128",8949.67101572717,63.6,"female","white",12,32
"129",112309.660734072,61.91,"female","white",16,42
"130",8939.55497630854,62.83,"female","white",12,44
"131",7932.57103394049,67.83,"male","white",16,28
"132",32800.8023474806,63.71,"female","white",15,30
"133",6359.00598305609,71.36,"male","white",15,25
"134",96383.0764233227,64,"female","white",16,39
"135",8967.87647229583,60.96,"female","white",13,35
"136",47691.8764601662,74.21,"male","white",12,42
"137",111283.259406706,70.25,"male","white",14,39
"138",79481.9408160514,71.08,"male","white",16,45
"139",70960.3420883276,62.85,"female","white",12,43
"140",48722.16771983,63.61,"female","white",14,47
"141",997.891112569392,62.03,"female","white",16,36
"142",16912.1555694825,62.08,"female","white",16,44
"143",37573.2990727913,70.15,"female","white",17,46
"144",1005.10722008903,62.1,"female","white",12,43
"145",71548.0876578581,70.76,"male","white",17,66
"146",23878.8111841365,71.04,"male","white",14,35
"147",7344.95757908863,69.86,"female","white",14,75
"148",26877.8701780781,67.02,"male","white",14,35
"149",48708.525626797,64.16,"female","white",12,36
"150",44711.1395351231,67.09,"female","white",12,34
"151",10044.7225146099,62.1,"female","white",8,73
"152",29611.1767650406,61.76,"female","hispanic",13,60
"153",68256.8967140838,67.95,"male","black",13,48
"154",51888.9713088147,62.5,"female","black",14,48
"155",995.46575719133,66.19,"female","black",5,55
"156",16887.1457287969,68.16,"female","black",18,60
"157",95449.6102254534,74.23,"male","white",13,49
"158",34383.7045204962,68.07,"female","other",12,54
"159",4807.83133117883,61.74,"female","white",16,26
"160",2587.63185305423,65.9,"female","white",15,32
"161",42922.5679351389,68.18,"male","white",12,31
"162",11485.9945183583,60.18,"female","hispanic",14,32
"163",25447.465302014,67.55,"male","white",8,47
"164",143095.852138569,72.09,"male","white",12,30
"165",13720.5053672839,66.27,"female","white",12,46
"166",31829.2883253981,67.86,"male","white",10,36
"167",24858.2269938452,67.47,"female","white",12,22
"168",20078.9661907246,69.1,"female","white",12,64
"169",39165.2382046526,64.15,"female","white",16,50
"170",32794.5406477114,65.02,"female","white",14,43
"171",31207.4500897519,61.19,"female","white",12,50
"172",15970.26222705,71.89,"male","white",12,53
"173",64610.3579806432,66.19,"female","white",16,38
"174",991.628909680612,61.91,"female","white",10,61
"175",995.090910576791,59.91,"female","hispanic",10,52
"176",39783.9469489965,67.85,"male","white",14,68
"177",39684.6241268197,70.08,"male","white",12,28
"178",39724.6811008388,71.13,"male","white",14,36
"179",30201.5172441044,71.51,"male","white",16,65
"180",70051.7508949032,68.28,"male","white",16,52
"181",1007.95714596412,65.81,"female","white",12,23
"182",1012.93115242453,63.07,"female","white",18,59
"183",24854.2035992486,60.32,"female","white",14,53
"184",28036.2730849519,63.06,"female","white",12,40
"185",38198.250803332,67.61,"male","white",12,60
"186",37585.5211136113,63.65,"female","white",12,41
"187",20628.2955187112,70.44,"male","white",12,78
"188",103375.877816366,67.81,"male","white",16,50
"189",12129.4641155017,60.95,"female","white",12,67
"190",63635.6570881354,67.78,"male","white",18,67
"191",24843.7543318963,66.4,"female","white",17,47
"192",31795.5788124066,69.7,"male","white",16,29
"193",31852.2062255474,70.62,"male","white",12,54
"194",32804.6545498774,64.76,"female","white",12,46
"195",40747.1407845328,66.06,"female","white",12,53
"196",77889.5763942784,69.9,"male","white",13,41
"197",1010.19089949095,63.84,"female","white",12,40
"198",1009.69186942175,63,"female","white",16,39
"199",40750.8830526368,61.39,"female","white",12,69
"200",18480.6824537285,66.26,"female","white",14,61
"201",26423.1293431361,60.8,"female","white",15,42
"202",55572.0362132959,72,"male","white",14,47
"203",198835.433852258,74.22,"male","white",18,49
"204",37566.5366877765,66.83,"female","white",12,51
"205",28022.2375146568,66.01,"female","white",16,32
"206",1016.49101336236,62.09,"female","white",13,35
"207",43933.83836836,62.21,"female","white",12,45
"208",111301.925090235,72.23,"male","white",14,36
"209",56639.2874902506,65.17,"female","white",15,51
"210",16899.2307482988,60.07,"female","white",12,66
"211",56646.5578023636,61.91,"female","white",15,43
"212",24858.2973709503,66.01,"female","white",12,42
"213",20065.3040015574,64.06,"female","white",12,43
"214",12641.1483677478,71.01,"male","white",12,72
"215",13742.373319619,65.32,"female","white",12,54
"216",55575.0908182266,73.15,"male","white",18,54
"217",71500.598919884,68.92,"male","white",11,55
"218",997.072456516123,64.04,"female","white",12,62
"219",24845.7392111286,64.09,"female","white",14,26
"220",24831.1444642002,61.37,"female","white",12,81
"221",39143.607661738,67.06,"female","white",18,55
"222",40770.5860160793,61.68,"female","white",13,36
"223",40764.7785489312,62.82,"female","black",14,58
"224",31727.703584918,66.64,"male","other",10,32
"225",39154.2544457864,67.86,"female","white",12,28
"226",69902.4752117052,72.3,"male","white",16,50
"227",109708.748822754,69.94,"male","white",12,42
"228",98535.1068275004,69.96,"male","white",18,48
"229",50919.6738042205,67.17,"male","black",14,36
"230",32810.0439602876,62.83,"female","black",12,37
"231",51892.9423880023,65.68,"female","other",18,39
"232",40756.069498211,65.9,"female","white",17,54
"233",270275.894207949,71.07,"male","white",18,49
"234",1001.22511774436,66.07,"female","black",11,33
"235",55728.5899158062,66.9,"male","white",16,37
"236",63516.2793540724,76.48,"male","black",16,42
"237",52438.922964203,68.71,"male","white",14,34
"238",29615.6153757967,65.41,"female","white",12,26
"239",48695.6588978653,61.92,"female","white",13,47
"240",42341.7892935171,61.97,"female","white",12,35
"241",8962.40245588917,61.72,"female","white",12,25
"242",32800.6355705226,62.29,"female","white",16,77
"243",28011.6417041634,60.95,"female","white",12,34
"244",51878.8132937651,65.16,"female","white",14,32
"245",23868.1473946433,72,"male","white",14,26
"246",981.194900092476,65.92,"female","white",17,45
"247",79510.340661361,72.13,"male","white",14,59
"248",13722.141363414,63.85,"female","white",12,43
"249",63693.4110882131,71.29,"male","white",14,55
"250",63610.4749987873,72.43,"male","white",15,45
"251",52085.5294649461,65.85,"male","white",12,38
"252",32803.4792304162,65,"female","white",14,73
"253",58230.5879236984,64.9,"female","black",15,43
"254",10542.8902094512,61.48,"female","white",12,68
"255",20095.5458305818,65.97,"female","black",14,38
"256",95430.6104210465,66.78,"male","white",14,67
"257",64613.0668228329,64.3,"female","white",13,48
"258",69383.4258503022,63.28,"female","white",12,42
"259",72549.3620022462,67.36,"female","white",16,38
"260",10522.9175006923,67.83,"female","white",18,43
"261",13718.4543920556,64.51,"female","other",10,86
"262",32796.9508717817,63.87,"female","black",13,43
"263",27064.549819231,66.1,"male","black",12,27
"264",4182.39423494047,65.48,"female","white",12,36
"265",103364.476394143,64.43,"male","white",12,32
"266",79469.6826737892,72.13,"male","white",12,45
"267",998.682558355125,67.92,"female","white",11,58
"268",998.684495526987,62.69,"female","white",11,33
"269",18477.7803339031,67.83,"female","white",12,42
"270",55628.230922933,74.41,"male","white",18,34
"271",42838.8607714631,63.1,"male","white",12,37
"272",6565.33123484257,63.75,"female","white",12,65
"273",66836.7602543026,68.19,"male","white",12,41
"274",32800.535842363,66.94,"female","white",18,33
"275",24847.4675748411,66.65,"female","white",12,33
"276",15859.5314446913,72.86,"male","white",12,25
"277",1003.64167432293,62.21,"female","white",12,52
"278",9490.29690448586,69.22,"male","white",8,82
"279",28032.1868635186,64.95,"female","hispanic",16,27
"280",55589.0943127064,68.9,"male","hispanic",16,69
"281",44516.112502923,77.02,"male","white",14,32
"282",24848.5150235251,68.07,"female","white",12,37
"283",32819.8518440008,62.2,"female","white",17,28
"284",32807.4666688853,64.07,"female","white",12,33
"285",16671.5011254779,66.55,"male","hispanic",12,46
"286",20550.1150385843,70.19,"male","white",16,26
"287",16894.1454216893,62.2,"female","white",12,56
"288",5768.92665868558,62.71,"female","white",12,41
"289",39157.5819181736,61.99,"female","white",14,33
"290",998.503387403771,62.81,"female","white",17,45
"291",28024.6010138162,68.84,"female","white",13,39
"292",18494.0961370381,64.28,"female","white",12,52
"293",1028.7967089839,64.52,"female","white",14,41
"294",51883.97214454,68.63,"female","white",14,44
"295",28035.1640643814,59.06,"female","white",15,30
"296",5764.82640107653,66.36,"female","other",12,39
"297",1000.43844737019,64.97,"female","white",12,45
"298",4330.56327434975,62,"female","black",12,25
"299",5042.87288471185,75.18,"male","black",11,38
"300",28044.017605739,62.99,"female","white",17,30
"301",48696.6894978227,65.03,"female","white",13,32
"302",23793.5962873794,70.02,"male","white",12,36
"303",39169.7206103304,68.32,"female","white",16,46
"304",16889.5158551673,65.01,"female","white",14,71
"305",79469.6524162958,69.22,"male","white",8,57
"306",79521.0309906084,71.7,"male","white",16,57
"307",32811.1171608666,63.65,"female","white",17,53
"308",48692.7045921071,62.84,"female","hispanic",18,58
"309",1000.81650997941,63.41,"female","white",12,67
"310",1019.52175123961,65.4,"female","white",10,52
"311",986.055083445869,63.07,"female","white",5,62
"312",35986.0131003784,73.2,"female","white",14,49
"313",42903.3817816247,74.77,"male","white",12,28
"314",7363.89520150288,65.14,"female","white",12,42
"315",28828.8892012243,66.55,"female","white",17,30
"316",27220.0746330027,65.93,"female","white",14,32
"317",45524.391056089,63.91,"female","white",16,43
"318",83682.9635299098,66.1,"female","white",18,54
"319",24854.2862407647,63.68,"female","white",16,33
"320",31210.0450199533,62.71,"female","white",13,36
"321",998.792806987374,62.75,"female","white",13,48
"322",42834.4504315573,72.72,"male","white",12,27
"323",23793.0568258544,72,"male","white",8,62
"324",1004.68819257564,66.06,"female","white",12,28
"325",23873.5673156157,71.94,"male","white",14,37
"326",24035.958990178,63.9,"female","white",12,59
"327",39149.8127118589,64.24,"female","white",13,34
"328",28581.7197594866,68.16,"male","white",15,40
"329",7351.36224357467,61.96,"female","white",12,72
"330",7350.34389591184,68.48,"female","white",13,61
"331",2098.28255691469,59.46,"female","white",12,40
"332",39169.7501351968,64.79,"female","white",12,95
"333",42926.3869579729,76.09,"male","white",12,43
"334",20091.4931673901,71.41,"female","white",12,39
"335",35985.2005008923,62.08,"female","white",18,51
"336",48698.2042696945,62.21,"female","white",13,40
"337",55616.9724786137,71.55,"male","white",12,65
"338",31836.5309592245,73.79,"male","white",12,46
"339",51897.557115687,65.16,"female","white",16,36
"340",10565.080348061,62.79,"female","other",12,35
"341",20084.3631443331,66.52,"female","white",12,43
"342",989.32483001483,65.05,"female","white",16,48
"343",16893.650618774,62.93,"female","white",12,35
"344",2583.37635997833,65.01,"female","white",12,22
"345",20057.9469932086,63.83,"female","white",15,75
"346",26434.5356297357,65.19,"female","white",12,40
"347",990.632829899077,67.9,"female","white",16,45
"348",40730.7869181018,62.87,"female","white",16,37
"349",40751.8595966049,69.96,"female","white",12,31
"350",50933.4879483364,68.62,"male","white",12,34
"351",55621.9374127112,66.75,"male","white",14,47
"352",10538.8367190333,65.05,"female","white",12,32
"353",127210.627675111,69.39,"male","white",14,48
"354",32799.5880325174,67.7,"female","white",14,29
"355",2598.33597751564,66.37,"female","white",17,42
"356",44502.6875350514,71.38,"male","hispanic",13,42
"357",41290.7032034576,63.87,"male","hispanic",16,27
"358",42946.1384264164,74.16,"male","white",12,28
"359",29617.1242132711,61.92,"female","white",13,45
"360",4203.92493626903,64.84,"female","white",12,63
"361",31774.6724028254,69.09,"male","white",12,70
"362",10547.6593411727,66.08,"female","white",16,52
"363",998.222937309824,60.16,"female","white",10,72
"364",39793.2360685558,66.6,"male","white",11,67
"365",19083.0662723967,72.94,"male","white",12,33
"366",982.603707126398,65.13,"female","white",18,30
"367",19019.4383518021,76.02,"male","white",12,61
"368",47621.5506990729,70.14,"male","white",14,80
"369",1002.02789557595,64.18,"female","white",12,34
"370",7352.90609561772,63,"female","black",15,26
"371",42344.141216902,62.96,"female","black",13,41
"372",36597.1185121691,70.04,"male","black",12,39
"373",33372.9363140627,71.27,"male","white",12,37
"374",40755.6601213819,65.19,"female","white",12,66
"375",28578.7772496041,69.48,"male","white",16,79
"376",7372.74244873303,63.48,"female","white",13,48
"377",39006.1541350665,64.11,"female","white",12,26
"378",56653.7613128414,63.44,"female","white",18,44
"379",41312.4117058859,67.15,"male","white",14,34
"380",39767.884119698,65.82,"male","white",16,40
"381",38374.9264949555,68.18,"female","white",13,31
"382",20079.9007989922,64.7,"female","white",12,26
"383",24856.3852622375,66.85,"female","white",12,24
"384",4771.49798475468,72.62,"male","white",17,27
"385",10538.599791571,63.68,"female","white",12,71
"386",22284.6898628754,70.77,"male","white",12,73
"387",24851.1945376469,63.17,"female","white",16,35
"388",278213.531775569,71.05,"male","white",16,52
"389",1012.72857450333,62.7,"female","white",12,55
"390",1605.96493256327,72.85,"male","white",18,29
"391",16899.9838545566,64.92,"female","white",14,67
"392",71575.5885980481,65.94,"male","white",13,86
"393",24854.2581843483,66.21,"female","white",12,85
"394",32804.552369449,59,"female","white",13,45
"395",55626.7507266474,69.9,"male","white",16,34
"396",63619.6597966112,71.96,"male","white",16,32
"397",56660.0517213774,64.27,"female","white",12,76
"398",80491.7059230187,65.48,"female","white",16,58
"399",159001.929910422,69.42,"male","white",18,61
"400",55744.0702635899,69.09,"male","white",13,32
"401",1019.39370328577,65.85,"female","white",12,55
"402",39166.0892107678,68.19,"female","white",12,39
"403",994.954167707421,64.15,"female","white",12,34
"404",1016.64167481653,63.06,"female","white",12,64
"405",55597.0775538434,73.86,"male","white",17,47
"406",60429.4216733453,72.55,"male","white",16,78
"407",47666.4694402061,67.35,"male","white",12,56
"408",8958.40683258562,64.3,"female","hispanic",12,43
"409",235388.719222562,66.72,"male","white",18,42
"410",47782.4465201032,69.45,"male","white",12,36
"411",11338.9470357351,63.76,"female","white",15,35
"412",5765.71378324095,61.71,"female","white",16,41
"413",986.455165422203,65.94,"female","white",8,57
"414",36713.0878336217,69.45,"male","white",18,73
"415",63544.160094039,67.69,"male","white",17,45
"416",47713.2746225333,71.77,"male","white",14,43
"417",998.346114761212,63.09,"female","white",14,33
"418",23257.5590577062,63.09,"female","white",12,41
"419",24843.7923614691,68.86,"female","white",12,38
"420",42347.4010321721,63.75,"female","white",18,40
"421",13720.5614863724,71.45,"female","white",12,29
"422",39159.796830908,63.98,"female","black",16,31
"424",1013.27147701205,62.27,"female","white",12,29
"425",988.758787012582,65.93,"female","white",10,42
"426",8181.73028203835,65.8,"male","white",8,71
"427",16889.8103273437,60.72,"female","white",15,29
"428",1016.50273906467,69.1,"female","white",13,23
"429",20100.2642571535,68.3,"female","white",16,36
"430",999.845388435426,65.9,"female","white",12,27
"431",79521.0347468327,67.87,"male","white",17,38
"432",37551.8483983486,63.61,"female","white",13,30
"433",1016.37310656959,61,"female","white",16,44
"434",63578.5962735478,65.98,"male","black",14,38
"435",10543.6518922358,61.86,"female","black",13,30
"436",8955.40314951583,64.86,"female","black",16,34
"437",174917.848536018,65.81,"male","white",18,41
"438",65089.763788033,72.05,"male","hispanic",13,36
"439",37562.8527389814,62.95,"female","white",13,82
"440",1000.54221572545,63.1,"female","white",12,36
"441",33354.9444670964,69.91,"male","white",12,27
"442",7358.5069793707,62.02,"female","white",12,33
"443",39763.7660650055,71.11,"male","white",12,40
"444",47665.4186748928,69.84,"male","white",18,50
"445",23255.7192646579,64.04,"female","white",11,55
"446",10546.2705351933,63.34,"female","white",12,39
"447",23266.3819801947,65.03,"female","white",12,50
"448",68461.3756361159,70.81,"male","white",12,31
"449",40750.2315198708,61.87,"female","white",15,37
"450",63533.925247467,73.05,"male","white",12,70
"451",103313.622213574,67.86,"male","white",17,44
"452",25439.9094368504,76.18,"male","white",15,36
"453",13715.9034686946,65.99,"female","white",12,75
"454",32795.5150089862,64.02,"female","white",15,43
"455",23259.2826084242,60.01,"female","white",14,76
"456",71637.552888116,67.86,"male","white",12,78
"457",13712.7662216597,61.18,"female","white",11,76
"458",19065.5179466674,66.13,"male","white",12,32
"459",13735.4075238793,63.02,"female","white",14,35
"460",26440.4988768348,62.85,"female","white",15,36
"461",9579.8456488705,73.86,"male","white",15,77
